tablename,CreateTime,LastAccessTime,Owner,numRows,rawDataSize,V1,year,month,day,date,yearmon,rawDataSize_gb,rawDataSize_gb_month,rawDataSize_gb_month_user
default,Thu May 11 10:40:33 CEST 2017,UNKNOWN,yu0073,915,37191,, 2017,May , 10,2017-05-10,2017.33333333333,3.7191e-05,7625.391561815,1442.853247408
default,Tue May 23 09:21:28 CEST 2017,UNKNOWN,yu0073,867,42266,, 2017,May , 09,2017-05-09,2017.33333333333,4.2266e-05,7625.391561815,1442.853247408
default,Mon Feb 20 15:47:16 CET 2017,UNKNOWN,yu0073,,0,, 2017,Feb , 15,2017-02-15,2017.08333333333,0,1958.448207358,709.691306283
default,Mon May 22 16:59:41 CEST 2017,UNKNOWN,yu0073,,0,, 2017,May , 16,2017-05-16,2017.33333333333,0,7625.391561815,1442.853247408
default,Tue May 23 02:15:34 CEST 2017,UNKNOWN,yu0073,,0,, 2017,May , 02,2017-05-02,2017.33333333333,0,7625.391561815,1442.853247408
default,Tue Feb 07 17:16:38 CET 2017,UNKNOWN,yu0073,2,25,, 2017,Feb , 17,2017-02-17,2017.08333333333,2.5e-08,1958.448207358,709.691306283
default,Thu Mar 02 11:14:58 CET 2017,UNKNOWN,yu0073,333379,8395575,, 2017,Mar , 11,2017-03-11,2017.16666666667,0.008395575,16032.951134725,5477.063529636
default,Thu Mar 02 12:44:34 CET 2017,UNKNOWN,yu0073,49785539,1302977977,, 2017,Mar , 12,2017-03-12,2017.16666666667,1.302977977,16032.951134725,5477.063529636
default,Mon Jan 02 19:51:42 CET 2017,UNKNOWN,rdevlop,0,0,, 2017,Jan , 19,2017-01-19,2017,0,35644.555435314,1.3056e-05
default,Fri Jan 13 16:12:22 CET 2017,UNKNOWN,c43180,0,0,, 2017,Jan , 16,2017-01-16,2017,0,35644.555435314,0.266194223
